[     118ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_0j0_bhh._.js:2431
[     130ms] [LOG] [HMR] connected @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_0j0_bhh._.js:2431
[   88227ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed:  @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   89234ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   90239ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   91243ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   92249ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   93256ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[   98260ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  103269ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  108281ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  113306ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  118335ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  123464ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
[  128729ms] [ERROR] WebSocket connection to 'ws://localhost:3847/_next/webpack-hmr?id=PlbAd04UP6l9Mlgc9r-sW' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3847/_next/static/chunks/0l0y_next_dist_client_0o8ca8-._.js:13299
